# num high symmetry points
12
# label high symmetry points
G M K G A L H A L M K H 
# indices high symmetry points
1 37 58 100 120 156 177 219 220 240 241 261 
# nk, nb, ns
261 33 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +2.5000000e-02 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-02 
+0.0000000e+00 +0.0000000e+00 +7.5000000e-02 
+0.0000000e+00 +0.0000000e+00 +1.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.2500000e-01 
+0.0000000e+00 +0.0000000e+00 +1.5000000e-01 
+0.0000000e+00 +0.0000000e+00 +1.7500000e-01 
+0.0000000e+00 +0.0000000e+00 +2.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.2500000e-01 
+0.0000000e+00 +0.0000000e+00 +2.5000000e-01 
+0.0000000e+00 +0.0000000e+00 +2.7500000e-01 
+0.0000000e+00 +0.0000000e+00 +3.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.2500000e-01 
+0.0000000e+00 +0.0000000e+00 +3.5000000e-01 
+0.0000000e+00 +0.0000000e+00 +3.7500000e-01 
+0.0000000e+00 +0.0000000e+00 +4.0000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.2500000e-01 
+0.0000000e+00 +0.0000000e+00 +4.5000000e-01 
+0.0000000e+00 +0.0000000e+00 +4.7500000e-01 
+0.0000000e+00 +0.0000000e+00 +5.0000000e-01 
+1.3888889e-02 +0.0000000e+00 +5.0000000e-01 
+2.7777778e-02 +0.0000000e+00 +5.0000000e-01 
+4.1666667e-02 +0.0000000e+00 +5.0000000e-01 
+5.5555556e-02 +0.0000000e+00 +5.0000000e-01 
+6.9444444e-02 +0.0000000e+00 +5.0000000e-01 
+8.3333333e-02 +0.0000000e+00 +5.0000000e-01 
+9.7222222e-02 +0.0000000e+00 +5.0000000e-01 
+1.1111111e-01 +0.0000000e+00 +5.0000000e-01 
+1.2500000e-01 +0.0000000e+00 +5.0000000e-01 
+1.3888889e-01 +0.0000000e+00 +5.0000000e-01 
+1.5277778e-01 +0.0000000e+00 +5.0000000e-01 
+1.6666667e-01 +0.0000000e+00 +5.0000000e-01 
+1.8055556e-01 +0.0000000e+00 +5.0000000e-01 
+1.9444444e-01 +0.0000000e+00 +5.0000000e-01 
+2.0833333e-01 +0.0000000e+00 +5.0000000e-01 
+2.2222222e-01 +0.0000000e+00 +5.0000000e-01 
+2.3611111e-01 +0.0000000e+00 +5.0000000e-01 
+2.5000000e-01 +0.0000000e+00 +5.0000000e-01 
+2.6388889e-01 +0.0000000e+00 +5.0000000e-01 
+2.7777778e-01 +0.0000000e+00 +5.0000000e-01 
+2.9166667e-01 +0.0000000e+00 +5.0000000e-01 
+3.0555556e-01 +0.0000000e+00 +5.0000000e-01 
+3.1944444e-01 +0.0000000e+00 +5.0000000e-01 
+3.3333333e-01 +0.0000000e+00 +5.0000000e-01 
+3.4722222e-01 +0.0000000e+00 +5.0000000e-01 
+3.6111111e-01 +0.0000000e+00 +5.0000000e-01 
+3.7500000e-01 +0.0000000e+00 +5.0000000e-01 
+3.8888889e-01 +0.0000000e+00 +5.0000000e-01 
+4.0277778e-01 +0.0000000e+00 +5.0000000e-01 
+4.1666667e-01 +0.0000000e+00 +5.0000000e-01 
+4.3055556e-01 +0.0000000e+00 +5.0000000e-01 
+4.4444444e-01 +0.0000000e+00 +5.0000000e-01 
+4.5833333e-01 +0.0000000e+00 +5.0000000e-01 
+4.7222222e-01 +0.0000000e+00 +5.0000000e-01 
+4.8611111e-01 +0.0000000e+00 +5.0000000e-01 
+5.0000000e-01 +0.0000000e+00 +5.0000000e-01 
+4.9206349e-01 +1.5873016e-02 +5.0000000e-01 
+4.8412698e-01 +3.1746032e-02 +5.0000000e-01 
+4.7619048e-01 +4.7619048e-02 +5.0000000e-01 
+4.6825397e-01 +6.3492063e-02 +5.0000000e-01 
+4.6031746e-01 +7.9365079e-02 +5.0000000e-01 
+4.5238095e-01 +9.5238095e-02 +5.0000000e-01 
+4.4444444e-01 +1.1111111e-01 +5.0000000e-01 
+4.3650794e-01 +1.2698413e-01 +5.0000000e-01 
+4.2857143e-01 +1.4285714e-01 +5.0000000e-01 
+4.2063492e-01 +1.5873016e-01 +5.0000000e-01 
+4.1269841e-01 +1.7460317e-01 +5.0000000e-01 
+4.0476190e-01 +1.9047619e-01 +5.0000000e-01 
+3.9682540e-01 +2.0634921e-01 +5.0000000e-01 
+3.8888889e-01 +2.2222222e-01 +5.0000000e-01 
+3.8095238e-01 +2.3809524e-01 +5.0000000e-01 
+3.7301587e-01 +2.5396825e-01 +5.0000000e-01 
+3.6507937e-01 +2.6984127e-01 +5.0000000e-01 
+3.5714286e-01 +2.8571429e-01 +5.0000000e-01 
+3.4920635e-01 +3.0158730e-01 +5.0000000e-01 
+3.4126984e-01 +3.1746032e-01 +5.0000000e-01 
+3.3333333e-01 +3.3333333e-01 +5.0000000e-01 
+3.2539683e-01 +3.2539683e-01 +5.0000000e-01 
+3.1746032e-01 +3.1746032e-01 +5.0000000e-01 
+3.0952381e-01 +3.0952381e-01 +5.0000000e-01 
+3.0158730e-01 +3.0158730e-01 +5.0000000e-01 
+2.9365079e-01 +2.9365079e-01 +5.0000000e-01 
+2.8571429e-01 +2.8571429e-01 +5.0000000e-01 
+2.7777778e-01 +2.7777778e-01 +5.0000000e-01 
+2.6984127e-01 +2.6984127e-01 +5.0000000e-01 
+2.6190476e-01 +2.6190476e-01 +5.0000000e-01 
+2.5396825e-01 +2.5396825e-01 +5.0000000e-01 
+2.4603175e-01 +2.4603175e-01 +5.0000000e-01 
+2.3809524e-01 +2.3809524e-01 +5.0000000e-01 
+2.3015873e-01 +2.3015873e-01 +5.0000000e-01 
+2.2222222e-01 +2.2222222e-01 +5.0000000e-01 
+2.1428571e-01 +2.1428571e-01 +5.0000000e-01 
+2.0634921e-01 +2.0634921e-01 +5.0000000e-01 
+1.9841270e-01 +1.9841270e-01 +5.0000000e-01 
+1.9047619e-01 +1.9047619e-01 +5.0000000e-01 
+1.8253968e-01 +1.8253968e-01 +5.0000000e-01 
+1.7460317e-01 +1.7460317e-01 +5.0000000e-01 
+1.6666667e-01 +1.6666667e-01 +5.0000000e-01 
+1.5873016e-01 +1.5873016e-01 +5.0000000e-01 
+1.5079365e-01 +1.5079365e-01 +5.0000000e-01 
+1.4285714e-01 +1.4285714e-01 +5.0000000e-01 
+1.3492063e-01 +1.3492063e-01 +5.0000000e-01 
+1.2698413e-01 +1.2698413e-01 +5.0000000e-01 
+1.1904762e-01 +1.1904762e-01 +5.0000000e-01 
+1.1111111e-01 +1.1111111e-01 +5.0000000e-01 
