# num high symmetry points
13
# label high symmetry points
G L B1 B Z G X Q F P1 Z L P 
# indices high symmetry points
1 42 67 68 114 128 176 177 200 205 245 246 256 
# nk, nb, ns
256 6 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+1.2195122e-02 +0.0000000e+00 +0.0000000e+00 
+2.4390244e-02 +0.0000000e+00 +0.0000000e+00 
+3.6585366e-02 +0.0000000e+00 +0.0000000e+00 
+4.8780488e-02 +0.0000000e+00 +0.0000000e+00 
+6.0975610e-02 +0.0000000e+00 +0.0000000e+00 
+7.3170732e-02 +0.0000000e+00 +0.0000000e+00 
+8.5365854e-02 +0.0000000e+00 +0.0000000e+00 
+9.7560976e-02 +0.0000000e+00 +0.0000000e+00 
+1.0975610e-01 +0.0000000e+00 +0.0000000e+00 
+1.2195122e-01 +0.0000000e+00 +0.0000000e+00 
+1.3414634e-01 +0.0000000e+00 +0.0000000e+00 
+1.4634146e-01 +0.0000000e+00 +0.0000000e+00 
+1.5853659e-01 +0.0000000e+00 +0.0000000e+00 
+1.7073171e-01 +0.0000000e+00 +0.0000000e+00 
+1.8292683e-01 +0.0000000e+00 +0.0000000e+00 
+1.9512195e-01 +0.0000000e+00 +0.0000000e+00 
+2.0731707e-01 +0.0000000e+00 +0.0000000e+00 
+2.1951220e-01 +0.0000000e+00 +0.0000000e+00 
+2.3170732e-01 +0.0000000e+00 +0.0000000e+00 
+2.4390244e-01 +0.0000000e+00 +0.0000000e+00 
+2.5609756e-01 +0.0000000e+00 +0.0000000e+00 
+2.6829268e-01 +0.0000000e+00 +0.0000000e+00 
+2.8048780e-01 +0.0000000e+00 +0.0000000e+00 
+2.9268293e-01 +0.0000000e+00 +0.0000000e+00 
+3.0487805e-01 +0.0000000e+00 +0.0000000e+00 
+3.1707317e-01 +0.0000000e+00 +0.0000000e+00 
+3.2926829e-01 +0.0000000e+00 +0.0000000e+00 
+3.4146341e-01 +0.0000000e+00 +0.0000000e+00 
+3.5365854e-01 +0.0000000e+00 +0.0000000e+00 
+3.6585366e-01 +0.0000000e+00 +0.0000000e+00 
+3.7804878e-01 +0.0000000e+00 +0.0000000e+00 
+3.9024390e-01 +0.0000000e+00 +0.0000000e+00 
+4.0243902e-01 +0.0000000e+00 +0.0000000e+00 
+4.1463415e-01 +0.0000000e+00 +0.0000000e+00 
+4.2682927e-01 +0.0000000e+00 +0.0000000e+00 
+4.3902439e-01 +0.0000000e+00 +0.0000000e+00 
+4.5121951e-01 +0.0000000e+00 +0.0000000e+00 
+4.6341463e-01 +0.0000000e+00 +0.0000000e+00 
+4.7560976e-01 +0.0000000e+00 +0.0000000e+00 
+4.8780488e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +0.0000000e+00 +0.0000000e+00 
+5.0000000e-01 +7.0472278e-03 -7.0472278e-03 
+5.0000000e-01 +1.4094456e-02 -1.4094456e-02 
+5.0000000e-01 +2.1141683e-02 -2.1141683e-02 
+5.0000000e-01 +2.8188911e-02 -2.8188911e-02 
+5.0000000e-01 +3.5236139e-02 -3.5236139e-02 
+5.0000000e-01 +4.2283367e-02 -4.2283367e-02 
