# num high symmetry points
8
# label high symmetry points
G X M G R X M R 
# indices high symmetry points
1 36 71 120 180 229 230 265 
# nk, nb, ns
265 20 1
# k-points (frac coords)
+0.0000000e+00 +0.0000000e+00 +0.0000000e+00 
+0.0000000e+00 +1.4285714e-02 +0.0000000e+00 
+0.0000000e+00 +2.8571429e-02 +0.0000000e+00 
+0.0000000e+00 +4.2857143e-02 +0.0000000e+00 
+0.0000000e+00 +5.7142857e-02 +0.0000000e+00 
+0.0000000e+00 +7.1428571e-02 +0.0000000e+00 
+0.0000000e+00 +8.5714286e-02 +0.0000000e+00 
+0.0000000e+00 +1.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +1.1428571e-01 +0.0000000e+00 
+0.0000000e+00 +1.2857143e-01 +0.0000000e+00 
+0.0000000e+00 +1.4285714e-01 +0.0000000e+00 
+0.0000000e+00 +1.5714286e-01 +0.0000000e+00 
+0.0000000e+00 +1.7142857e-01 +0.0000000e+00 
+0.0000000e+00 +1.8571429e-01 +0.0000000e+00 
+0.0000000e+00 +2.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +2.1428571e-01 +0.0000000e+00 
+0.0000000e+00 +2.2857143e-01 +0.0000000e+00 
+0.0000000e+00 +2.4285714e-01 +0.0000000e+00 
+0.0000000e+00 +2.5714286e-01 +0.0000000e+00 
+0.0000000e+00 +2.7142857e-01 +0.0000000e+00 
+0.0000000e+00 +2.8571429e-01 +0.0000000e+00 
+0.0000000e+00 +3.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +3.1428571e-01 +0.0000000e+00 
+0.0000000e+00 +3.2857143e-01 +0.0000000e+00 
+0.0000000e+00 +3.4285714e-01 +0.0000000e+00 
+0.0000000e+00 +3.5714286e-01 +0.0000000e+00 
+0.0000000e+00 +3.7142857e-01 +0.0000000e+00 
+0.0000000e+00 +3.8571429e-01 +0.0000000e+00 
+0.0000000e+00 +4.0000000e-01 +0.0000000e+00 
+0.0000000e+00 +4.1428571e-01 +0.0000000e+00 
+0.0000000e+00 +4.2857143e-01 +0.0000000e+00 
+0.0000000e+00 +4.4285714e-01 +0.0000000e+00 
+0.0000000e+00 +4.5714286e-01 +0.0000000e+00 
+0.0000000e+00 +4.7142857e-01 +0.0000000e+00 
+0.0000000e+00 +4.8571429e-01 +0.0000000e+00 
+0.0000000e+00 +5.0000000e-01 +0.0000000e+00 
+1.4285714e-02 +5.0000000e-01 +0.0000000e+00 
